id,name,votes,rubles
264863,СтартПак,1,17
264320,Страхование транспорта,10,170
265002,Выдача валюты 50000,10,170
264321,Модуль памяти (+0.5 к интеллекту),20,340
264520,Прокачка атрибутов,70,1190
264532,Прокачка навыка Кулинария,30,510
264546,Прокачка навыка Фермерство,30,510
264545,Прокачка навыка Инженерное дело,30,510
264544,Прокачка навыка Медицина,30,510
265072,Набор ремкомплектов,4,68
265071,Набор автомеханика,3,51
265063,Набор взломщика,3,51
265074,Набор огородника,7,119
265150,Набор баллончиков красок,10,170
265073,Набор медицины,6,102
265065,Феникс (одноразовый),2,34
264322,Золотая катана,10,170
264290,Тактический комплект MP5SD,10,170
264294,Тактический комплект AK47,15,255
264297,Тактический комплект АС Вал,15,255
264295,Тактический комплект MK18,15,255
264063,Тактический комплект АКМ,15,255
265061,Тактический набор одежды Black,15,255
265059,Тактический набор одежды Green,15,255
264305,Транспортный комплект (Кр...),5,85
264307,Транспортный комплект (Чо...),8,136
264308,Транспортный комплект (Мо...),10,170
264309,Транспортный комплект (Кв...),13,221
264311,Транспортный комплект (Тр...),16,272
264314,Транспортный комплект (Vol...),25,425
264316,Транспортный комплект (Ни...),30,510
264317,Транспортный комплект (Пи...),40,680
